vs,tmmn,FireMask,pdsi,sph,population,tmmx,th,PrevFireMask,pr,erc,elevation,NDVI
3.0031192302703857,282.3836975097656,0.0,-0.017103707417845726,0.006789053324609995,0.0,297.7554626464844,236.6572723388672,0.0,-0.005573989357799292,35.39692687988281,1848.0,4890.0
2.9908852577209473,282.38751220703125,0.0,-0.006776217371225357,0.006792944855988026,0.0,297.7261962890625,236.91989135742188,0.0,-0.0063840849325060844,35.2186164855957,1773.0,5396.0
2.9786980152130127,282.392822265625,0.0,-0.04419618099927902,0.006797824054956436,0.0,297.7032775878906,237.1920623779297,0.0,-0.007185144349932671,35.04634094238281,1700.0,5396.0
2.9666683673858643,282.3993835449219,0.0,-0.08788637816905975,0.006803504657000303,0.0,297.6860046386719,237.47125244140625,0.0,-0.007964677177369595,34.88092041015625,1628.0,6573.0
2.9549076557159424,282.4068603515625,0.0,-0.08777815103530884,0.006809799931943417,0.0,297.6737060546875,237.75489807128906,0.0,-0.008710195310413837,34.72317886352539,1576.0,7608.0
2.94352650642395,282.4150085449219,0.0,0.006197129376232624,0.006816523615270853,0.0,297.6657409667969,238.04046630859375,0.0,-0.009409206919372082,34.573944091796875,1533.0,7613.0
2.9326367378234863,282.42352294921875,0.0,0.2474997490644455,0.006823489908128977,0.0,297.6614685058594,238.3253631591797,0.0,-0.010049222968518734,34.43403625488281,1488.0,7612.0
2.922348737716675,282.4321594238281,0.0,0.6041247248649597,0.006830512546002865,0.0,297.66021728515625,238.60707092285156,0.0,-0.010617753490805626,34.304283142089844,1452.0,7612.0
2.9127743244171143,282.4405822753906,0.0,0.9936131834983826,0.006837404798716307,0.0,297.6613464355469,238.8830108642578,0.0,-0.01110230851918459,34.18550491333008,1425.0,6670.0
2.9040238857269287,282.44854736328125,0.0,1.3334852457046509,0.006843980401754379,0.0,297.6641540527344,239.150634765625,0.0,-0.01149039901793003,34.078529357910156,1393.0,6730.0
2.896209239959717,282.45574951171875,0.0,1.5464694499969482,0.006850053556263447,0.0,297.66802978515625,239.40740966796875,0.0,-0.011769534088671207,33.98418045043945,1326.0,6570.0
2.8894410133361816,282.4619445800781,0.0,1.6511255502700806,0.006855437997728586,0.0,297.67230224609375,239.65074157714844,0.0,-0.011927224695682526,33.90327835083008,1310.0,7327.0
2.883627414703369,282.4675598144531,0.0,1.6898516416549683,0.0068605090491473675,0.0,297.6794128417969,239.88812255859375,0.0,-0.011956664733588696,33.836795806884766,1291.0,6657.0
2.8783655166625977,282.4739990234375,0.0,1.6925127506256104,0.006866371259093285,0.0,297.6954345703125,240.13919067382812,0.0,-0.011870079673826694,33.784942626953125,1276.0,6657.0
2.873623847961426,282.4812927246094,0.0,1.6889734268188477,0.006872981321066618,0.0,297.7197265625,240.40232849121094,0.0,-0.01167832687497139,33.746768951416016,1265.0,6095.0
2.8693864345550537,282.4893798828125,0.0,1.6904544830322266,0.006880253087729216,0.0,297.75140380859375,240.6751708984375,0.0,-0.011392000131309032,33.7213134765625,1252.0,4019.0
2.8656370639801025,282.4981384277344,0.0,1.666326880455017,0.006888099946081638,0.0,297.7895812988281,240.95535278320312,0.0,-0.011021694168448448,33.70760726928711,1244.0,4333.0
2.8623592853546143,282.507568359375,0.0,1.6315333843231201,0.006896435283124447,0.0,297.8334045410156,241.24050903320312,0.0,-0.010578005574643612,33.704681396484375,1256.0,6590.0
2.859537363052368,282.5175476074219,0.0,1.6044325828552246,0.006905173417180777,0.0,297.8819885253906,241.52825927734375,0.0,-0.010071528144180775,33.71157455444336,1258.0,6590.0
2.8571548461914062,282.52801513671875,0.0,1.6033565998077393,0.006914226803928614,0.0,297.9344177246094,241.8162384033203,0.0,-0.009512855671346188,33.727317810058594,1265.0,7081.0
2.8551952838897705,282.5389099121094,0.0,1.6325968503952026,0.006923510227352381,0.0,297.9898681640625,242.10206604003906,0.0,-0.008912584744393826,33.75094223022461,1277.0,7690.0
2.8536429405212402,282.5501403808594,0.0,1.680721402168274,0.006932936143130064,0.0,298.04742431640625,242.38336181640625,0.0,-0.00828130915760994,33.7814826965332,1317.0,8436.0
2.8524813652038574,282.5616760253906,0.0,1.7397689819335938,0.006942419335246086,0.0,298.106201171875,242.65777587890625,0.0,-0.00762962456792593,33.81797409057617,1371.0,7957.0
2.8516945838928223,282.57342529296875,0.0,1.8017780780792236,0.006951872259378433,0.0,298.16534423828125,242.92291259765625,0.0,-0.006968125235289335,33.85944366455078,1440.0,7957.0
2.8512661457061768,282.5853271484375,0.0,1.8602380752563477,0.006961209233850241,0.0,298.2239685058594,243.17642211914062,0.0,-0.006307405885308981,33.90493392944336,1435.0,7105.0
2.851180076599121,282.5973205566406,0.0,1.9214308261871338,0.006970343180000782,0.0,298.2811584472656,243.41592407226562,0.0,-0.005658061243593693,33.953468322753906,1456.0,7594.0
2.8514199256896973,282.6092834472656,0.0,1.9855892658233643,0.0069791884161531925,0.0,298.3360900878906,243.6390380859375,0.0,-0.005030686501413584,34.004085540771484,1508.0,6827.0
2.8519697189331055,282.6212158203125,0.0,2.050461530685425,0.006987657863646746,0.0,298.3878479003906,243.84341430664062,0.0,-0.004435876850038767,34.05582046508789,1575.0,6858.0
2.8528130054473877,282.6330261230469,0.0,2.1137962341308594,0.006995665840804577,0.0,298.4355773925781,244.0266571044922,0.0,-0.0038842265494167805,34.10770034790039,1704.0,6858.0
2.8539340496063232,282.6446228027344,0.0,2.177633762359619,0.0070031252689659595,0.0,298.4783630371094,244.1864013671875,0.0,-0.003386330557987094,34.15876388549805,1828.0,7541.0
2.855316162109375,282.65594482421875,0.0,2.2462658882141113,0.007009950000792742,0.0,298.5153503417969,244.3202667236328,0.0,-0.0029527838341891766,34.208038330078125,1928.0,7191.0
2.8569436073303223,282.66693115234375,0.0,2.312267780303955,0.007016053423285484,0.0,298.545654296875,244.4259033203125,0.0,-0.0025941808708012104,34.25456619262695,1889.0,8243.0
2.8590002059936523,282.67816162109375,0.0,2.367828369140625,0.007021654862910509,0.0,298.5694274902344,244.50588989257812,0.0,-0.0023019344080239534,34.30022430419922,1706.0,8104.0
2.861874580383301,282.69097900390625,0.0,2.4051156044006348,0.007027352694422007,0.0,298.58868408203125,244.57000732421875,0.0,-0.002037959173321724,34.350624084472656,1558.0,7733.0
2.865497589111328,282.7051086425781,0.0,2.4188315868377686,0.007033107336610556,0.0,298.6039733886719,244.61868286132812,0.0,-0.001799207180738449,34.40557098388672,1481.0,7733.0
2.8697845935821533,282.7203369140625,0.0,2.415750026702881,0.007038856390863657,0.0,298.61572265625,244.65191650390625,0.0,-0.0015840419800952077,34.46464538574219,1446.0,7441.0
2.874650478363037,282.73638916015625,0.0,2.405555486679077,0.007044536992907524,0.0,298.6242980957031,244.66976928710938,0.0,-0.0013908268883824348,34.52743148803711,1414.0,6178.0
2.880009889602661,282.7529602050781,0.0,2.3979332447052,0.007050085812807083,0.0,298.6302185058594,244.67222595214844,0.0,-0.0012179253390058875,34.5935173034668,1405.0,4475.0
2.8857779502868652,282.7698059082031,0.0,2.400784492492676,0.0070554399862885475,0.0,298.63385009765625,244.65936279296875,0.0,-0.0010637007653713226,34.6624870300293,1402.0,4641.0
2.8918697834014893,282.78668212890625,0.0,2.40889835357666,0.007060536649078131,0.0,298.6356201171875,244.63116455078125,0.0,-0.0009265165426768363,34.733924865722656,1404.0,4641.0
2.898200035095215,282.80328369140625,0.0,2.4191842079162598,0.007065312471240759,0.0,298.635986328125,244.5876922607422,0.0,-0.0008047360461205244,34.807411193847656,1419.0,6188.0
2.904683828353882,282.8193664550781,0.0,2.4298131465911865,0.007069705054163933,0.0,298.6353759765625,244.52894592285156,0.0,-0.0006967226509004831,34.88253402709961,1410.0,5799.0
2.911235809326172,282.83465576171875,0.0,2.438957929611206,0.007073651067912579,0.0,298.63421630859375,244.45498657226562,0.0,-0.0006008397904224694,34.95887756347656,1407.0,6379.0
2.917771339416504,282.848876953125,0.0,2.4457080364227295,0.007077088113874197,0.0,298.6329345703125,244.36581420898438,0.0,-0.0005154508980922401,35.03602600097656,1410.0,6783.0
