elevation,sph,PrevFireMask,population,NDVI,th,vs,pr,erc,tmmn,tmmx,FireMask,pdsi
758.0,0.0059519303031265736,0.0,0.003837886266410351,2637.0,316.81439208984375,4.191196441650391,0.41814759373664856,67.14163208007812,288.87921142578125,302.6734619140625,0.0,-5.2024455070495605
952.0,0.005948564037680626,0.0,0.0,2573.0,317.20733642578125,4.215190410614014,0.39890262484550476,67.48402404785156,288.9201965332031,302.693115234375,0.0,-5.17963171005249
991.0,0.005945475306361914,0.0,0.0,2573.0,317.59796142578125,4.240565299987793,0.3776025176048279,67.85086822509766,288.96002197265625,302.7127380371094,0.0,-5.141568660736084
1032.0,0.005942704621702433,0.0,0.0,2576.0,317.9837951660156,4.267055034637451,0.35454773902893066,68.238525390625,288.9987487792969,302.7327575683594,0.0,-5.099656581878662
1081.0,0.005940292030572891,0.0,0.019867807626724243,2868.0,318.3623352050781,4.2943949699401855,0.330038845539093,68.64334869384766,289.036376953125,302.75347900390625,0.0,-5.066289901733398
1150.0,0.005938278045505285,0.0,0.5944710373878479,3394.0,318.73114013671875,4.3223185539245605,0.3043763339519501,69.06169891357422,289.07293701171875,302.77532958984375,0.0,-5.053866386413574
1187.0,0.0059367031790316105,0.0,0.7325962781906128,3394.0,319.0876770019531,4.35056209564209,0.27786070108413696,69.48994445800781,289.1084899902344,302.7986755371094,0.0,-5.096103191375732
1215.0,0.005935607943683863,0.0,0.9852862358093262,4423.0,319.4295349121094,4.378859043121338,0.2507925033569336,69.9244384765625,289.1430358886719,302.8238525390625,0.0,-5.191723823547363
1202.0,0.005935031920671463,0.0,0.902841329574585,4077.0,319.7541809082031,4.406944274902344,0.2234722375869751,70.3615493774414,289.1766662597656,302.8512878417969,0.0,-5.280970573425293
1184.0,0.0059350160881876945,0.0,0.9042351245880127,4102.0,320.0591735839844,4.434553146362305,0.1962004005908966,70.7976303100586,289.2093811035156,302.88128662109375,0.0,-5.303758144378662
1105.0,0.005935600958764553,0.0,0.8797653317451477,4102.0,320.3420104980469,4.461419582366943,0.16927753388881683,71.22904205322266,289.2412109375,302.9142761230469,0.0,-5.1977667808532715
1025.0,0.00593682611361146,0.0,0.0,2749.0,320.6002197265625,4.487278461456299,0.1430041342973709,71.65215301513672,289.2721862792969,302.95062255859375,0.0,-4.905479431152344
1010.0,0.005938732996582985,0.0,0.0,2607.0,320.831298828125,4.51186466217041,0.11768071353435516,72.06331634521484,289.3023376464844,302.9906921386719,0.0,-4.505147933959961
976.0,0.0059413607232272625,0.0,0.0,2619.0,321.0328063964844,4.534913063049316,0.09360780566930771,72.45889282226562,289.3317565917969,303.0348205566406,0.0,-4.106687068939209
906.0,0.005944750737398863,0.0,0.0,2619.0,321.2022705078125,4.556158065795898,0.07108591496944427,72.83524322509766,289.36041259765625,303.08343505859375,0.0,-3.820010185241699
833.0,0.005948942620307207,0.0,0.0,2758.0,321.337158203125,4.575334072113037,0.050415560603141785,73.18873596191406,289.38836669921875,303.1368713378906,0.0,-3.7394120693206787
763.0,0.005953977350145578,0.0,0.0,2952.0,321.4350280761719,4.5921759605407715,0.031897250562906265,73.51571655273438,289.4156494140625,303.1955261230469,0.0,-3.8305444717407227
754.0,0.005959894973784685,0.0,0.0,2952.0,321.4933776855469,4.606418609619141,0.01583150587975979,73.81256103515625,289.4422912597656,303.259765625,0.0,-4.006800651550293
718.0,0.005966735538095236,0.0,0.0,2845.0,321.509765625,4.617796897888184,0.0025188387371599674,74.07562255859375,289.4683532714844,303.3299560546875,0.0,-4.182485103607178
684.0,0.005975211970508099,0.0,0.0,3684.0,321.49371337890625,4.626503944396973,-0.008048000745475292,74.30399322509766,289.4944763183594,303.4084777832031,0.0,-4.271902561187744
644.0,0.005986617878079414,0.0,0.0,3485.0,321.46856689453125,4.633452415466309,-0.01649312488734722,74.50332641601562,289.5218505859375,303.4991760253906,0.0,-4.254059791564941
609.0,0.006000621244311333,0.0,0.0,3485.0,321.431884765625,4.638727188110352,-0.023004405200481415,74.67630767822266,289.5501708984375,303.600830078125,0.0,-4.182682037353516
596.0,0.006016834639012814,0.0,0.0,2719.0,321.38018798828125,4.642380714416504,-0.027749236673116684,74.82548522949219,289.5790710449219,303.7119445800781,0.0,-4.081969738006592
632.0,0.006034870631992817,0.0,0.0,2494.0,321.30999755859375,4.64446496963501,-0.030895018950104713,74.95338439941406,289.6082458496094,303.83111572265625,0.0,-3.9761219024658203
637.0,0.006054341327399015,0.0,0.0,2467.0,321.2178649902344,4.6450324058532715,-0.03260914981365204,75.06254577636719,289.63726806640625,303.9569091796875,0.0,-3.885533332824707
659.0,0.006074858363717794,0.0,0.0,2467.0,321.100341796875,4.644134044647217,-0.033059027045965195,75.15550994873047,289.66583251953125,304.087890625,0.0,-3.7871439456939697
605.0,0.006096034776419401,0.0,0.0021627522073686123,2608.0,320.95391845703125,4.641822338104248,-0.032412052154541016,75.23480224609375,289.6935729980469,304.2226257324219,0.0,-3.683286666870117
497.0,0.006117482669651508,0.0,0.05569734796881676,3017.0,320.7751770019531,4.638148784637451,-0.03083561547100544,75.30297088623047,289.7201232910156,304.3597106933594,0.0,-3.588275909423828
542.0,0.006138813681900501,0.0,0.1462285816669464,2680.0,320.56060791015625,4.633166313171387,-0.0284971222281456,75.36254119873047,289.7451477050781,304.4976806640625,0.0,-3.516425848007202
656.0,0.0061596413142979145,0.0,0.1671871393918991,2680.0,320.3067932128906,4.626926422119141,-0.02556396648287773,75.41605377197266,289.76824951171875,304.6351318359375,0.0,-3.4794933795928955
655.0,0.006179576274007559,0.0,0.1671871393918991,2283.0,320.01025390625,4.619481086730957,-0.02220354788005352,75.4660415649414,289.7890930175781,304.7705993652344,0.0,-3.4719057083129883
