tmmn,elevation,population,NDVI,PrevFireMask,th,vs,FireMask,sph,tmmx,pdsi,erc,pr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289.00701904296875,0.0,0.0,0.0,0.0,224.2403564453125,14.41266918182373,0.0,0.011284785345196724,300.21588134765625,0.0,22.239288330078125,0.0
288.81689453125,0.0,0.0,0.0,0.0,226.91748046875,11.422200202941895,0.0,0.011354299262166023,300.01788330078125,0.0,22.55507469177246,0.0
288.68402099609375,0.0,0.0,0.0,0.0,228.78839111328125,9.33232593536377,0.0,0.011402878910303116,299.8794860839844,0.0,22.775760650634766,0.0
288.5840759277344,0.0,0.0,0.0,0.0,230.10137939453125,7.7720818519592285,0.0,0.011435933411121368,299.7712097167969,0.0,22.946914672851562,0.0
288.505126953125,0.0,0.0,0.0,0.0,230.9404296875,6.564511775970459,0.0,0.011454720050096512,299.6768493652344,0.0,23.092912673950195,0.0
288.4446105957031,0.0,0.0,0.0,0.0,231.48019409179688,5.651605129241943,0.0,0.011465296149253845,299.59991455078125,0.0,23.210506439208984,0.0
288.3984375,0.0,0.0,0.0,0.0,231.84036254882812,4.961312294006348,0.0,0.011471452191472054,299.53887939453125,0.0,23.30308723449707,0.0
288.3629455566406,0.0,0.0,0.0,0.0,232.0942840576172,4.433602333068848,0.0,0.011475336737930775,299.4909362792969,0.0,23.375497817993164,0.0
288.3353576660156,0.0,0.0,0.0,0.0,232.28616333007812,4.024229526519775,0.0,0.011478153988718987,299.4534606933594,0.0,23.43206214904785,0.0
288.31365966796875,0.0,0.0,0.0,0.0,232.44285583496094,3.7017905712127686,0.0,0.011480586603283882,299.42425537109375,0.0,23.47618865966797,0.0
288.29644775390625,0.0,0.0,0.0,0.0,232.5811004638672,3.444145917892456,0.0,0.011483031325042248,299.4017028808594,0.0,23.510452270507812,0.0
288.28271484375,0.0,0.0,0.0,0.0,232.71170043945312,3.235591173171997,0.0,0.011485726572573185,299.3845520019531,0.0,23.536760330200195,0.0
288.2716369628906,0.0,0.0,0.0,0.0,232.84185791015625,3.0648555755615234,0.0,0.011488826014101505,299.37188720703125,0.0,23.556522369384766,0.0
288.26275634765625,0.0,0.0,0.0,0.0,232.9767608642578,2.9237427711486816,0.0,0.01149243488907814,299.3630676269531,0.0,23.570768356323242,0.0
288.255615234375,0.0,0.0,0.0,0.0,233.1203155517578,2.806210517883301,0.0,0.011496637016534805,299.3575744628906,0.0,23.580251693725586,0.0
288.2499694824219,0.0,0.0,0.0,0.0,233.27578735351562,2.707749366760254,0.0,0.011501508764922619,299.35504150390625,0.0,23.585508346557617,0.0
288.24554443359375,0.0,0.0,0.0,0.0,233.44610595703125,2.6249589920043945,0.0,0.011507123708724976,299.35528564453125,0.0,23.586902618408203,0.0
288.24224853515625,0.0,0.0,0.0,0.0,233.6342010498047,2.5552542209625244,0.0,0.011513566598296165,299.358154296875,0.0,23.58466339111328,0.0
288.2398986816406,0.0,0.0,0.0,0.0,233.8431396484375,2.496662139892578,0.0,0.011520931497216225,299.3635559082031,0.0,23.578899383544922,0.0
288.2384948730469,0.0,0.0,0.0,0.0,234.0763702392578,2.4476797580718994,0.0,0.011529335752129555,299.37158203125,0.0,23.569608688354492,0.0
288.2379150390625,0.0,0.0,0.0,0.0,234.33787536621094,2.4071736335754395,0.0,0.011538918130099773,299.3822937011719,0.0,23.556684494018555,0.0
288.2381896972656,0.0,0.0,0.0,0.0,234.6324005126953,2.37431263923645,0.0,0.011549851857125759,299.3958740234375,0.0,23.539907455444336,0.0
288.23931884765625,0.0,0.0,0.0,0.0,234.96578979492188,2.348522186279297,0.0,0.011562355794012547,299.4126281738281,0.0,23.518932342529297,0.0
288.2411804199219,0.0,0.0,0.0,0.0,235.34889221191406,2.32842755317688,0.0,0.011576664634048939,299.4327697753906,0.0,23.493019104003906,0.0
288.24346923828125,0.0,0.0,0.0,0.0,235.7907257080078,2.311343193054199,0.0,0.011592789553105831,299.4560546875,0.0,23.461666107177734,0.0
288.2461853027344,0.0,0.0,0.0,0.0,236.28695678710938,2.2966790199279785,0.0,0.011610642075538635,299.4822998046875,0.0,23.425384521484375,0.0
288.2492370605469,0.0,0.0,0.0,0.0,236.833740234375,2.2840237617492676,0.0,0.011630157940089703,299.5113525390625,0.0,23.384618759155273,0.0
288.2527160644531,0.0,0.0,0.0,0.0,237.42779541015625,2.2730395793914795,0.0,0.011651283130049706,299.5430603027344,-0.3921733796596527,23.33974838256836,0.0
288.256591796875,0.0,0.0,0.0,0.0,238.06610107421875,2.263443946838379,0.0,0.011673972010612488,299.5773620605469,-0.47750523686408997,23.291120529174805,0.0
