pdsi,vs,pr,FireMask,tmmx,PrevFireMask,elevation,NDVI,erc,population,th,sph,tmmn
-0.5613487958908081,2.4971377849578857,0.0,0.0,301.5135192871094,0.0,1213.0,5807.0,75.45541381835938,0.0,283.55413818359375,0.0035809350665658712,283.1040344238281
-0.5486819744110107,2.4909448623657227,0.0,0.0,301.6201477050781,0.0,1179.0,5866.0,75.51090240478516,0.0,282.77801513671875,0.0035752318799495697,283.1332702636719
-0.5268762707710266,2.4852781295776367,0.0,0.0,301.7332763671875,0.0,1196.0,5516.0,75.55609130859375,0.0,281.94244384765625,0.0035698022693395615,283.16131591796875
-0.49870195984840393,2.480142593383789,0.0,0.0,301.8520812988281,0.0,1179.0,5516.0,75.5918960571289,0.0,281.05682373046875,0.003564635291695595,283.188232421875
-0.47928354144096375,2.4755427837371826,0.0,0.0,301.9756774902344,0.0,1152.0,5583.0,75.61922454833984,0.0,280.130615234375,0.0035597209352999926,283.214111328125
-0.4837455451488495,2.4714834690093994,0.0,0.0,302.1031799316406,0.0,1068.0,5138.0,75.63899230957031,0.0,279.17315673828125,0.0035550484899431467,283.23907470703125
-0.532688319683075,2.4679698944091797,0.0,0.0,302.2337341308594,0.0,1021.0,4949.0,75.65211486816406,0.0,278.1938781738281,0.003550607245415449,283.2632141113281
-0.654771625995636,2.4650065898895264,0.0,0.0,302.366455078125,0.0,1010.0,4949.0,75.65950012207031,0.0,277.20220947265625,0.003546386491507292,283.2865905761719
-0.805393636226654,2.4625983238220215,0.0,0.0,302.50048828125,0.0,1061.0,4345.0,75.66207122802734,0.0,276.20751953125,0.0035423762165009975,283.309326171875
-0.9290053248405457,2.460750102996826,0.0,0.0,302.63494873046875,0.0,1044.0,4168.0,75.66073608398438,0.0,275.21923828125,0.0035385657101869583,283.33154296875
-0.9700577855110168,2.4594666957855225,0.0,0.0,302.76898193359375,0.0,1091.0,4085.0,75.65641021728516,0.0,274.24676513671875,0.003534944262355566,283.353271484375
-0.8677478432655334,2.4587528705596924,0.0,0.0,302.9017028808594,0.0,1161.0,4085.0,75.6500015258789,0.0,273.29949951171875,0.0035315011627972126,283.3746643066406
-0.6379660367965698,2.458613634109497,0.0,0.0,303.0322570800781,0.0,1177.0,4475.0,75.64242553710938,0.18817532062530518,272.3868408203125,0.003528226399794221,283.3957824707031
-0.371395468711853,2.4590537548065186,0.0,0.0,303.1597900390625,0.0,1184.0,6053.0,75.63460540771484,2.7007546424865723,271.5182189941406,0.0035251090303063393,283.416748046875
-0.15974146127700806,2.460078001022339,0.0,0.0,303.2833557128906,0.0,1184.0,5199.0,75.62744140625,0.7040660381317139,270.7030334472656,0.003522138576954603,283.4376220703125
-0.09416184574365616,2.461690902709961,0.0,0.0,303.4021911621094,0.0,1154.0,5199.0,75.62185668945312,0.0,269.95068359375,0.0035193045623600483,283.45855712890625
-0.2057892084121704,2.463897943496704,0.0,0.0,303.5153503417969,0.0,1117.0,5095.0,75.6187515258789,0.0,269.2705383300781,0.00351659650914371,283.4795837402344
-0.4251585304737091,2.466703414916992,0.0,0.0,303.6219787597656,0.0,1059.0,3407.0,75.61905670166016,0.0,268.6720886230469,0.0035140037070959806,283.5008239746094
-0.6748155355453491,2.470367193222046,0.0,0.0,303.723876953125,0.0,1043.0,2939.0,75.62088775634766,0.0,268.1522521972656,0.0035115964710712433,283.52227783203125
-0.8773060441017151,2.4753808975219727,0.0,0.0,303.82623291015625,0.0,1034.0,2939.0,75.6187744140625,0.0,267.6861267089844,0.0035095317289233208,283.54364013671875
-0.9798442125320435,2.4816298484802246,0.0,0.0,303.9288330078125,0.0,1023.0,2608.0,75.61294555664062,0.0,267.26910400390625,0.003507785964757204,283.5649108886719
-1.0504835844039917,2.488978624343872,0.0,0.0,304.0312805175781,0.0,1049.0,2502.0,75.60383605957031,0.0,266.89727783203125,0.003506329143419862,283.5860290527344
-1.0810668468475342,2.497290849685669,0.0,0.0,304.1331481933594,0.0,1049.0,2502.0,75.59188842773438,0.0,266.56689453125,0.0035051314625889063,283.6069641113281
-1.048175573348999,2.5064315795898438,0.0,0.0,304.2340393066406,0.0,1026.0,1590.0,75.5775375366211,0.0,266.27410888671875,0.00350416311994195,283.6276550292969
-0.9283912181854248,2.5162646770477295,0.0,0.0,304.33349609375,0.0,1016.0,1691.0,75.56122589111328,0.0,266.0151062011719,0.0035033938474953175,283.6480712890625
-0.6326653361320496,2.5266547203063965,0.0,0.0,304.4311218261719,0.0,999.0,1088.0,75.54338836669922,0.0,265.7861022949219,0.003502794075757265,283.6681823730469
-0.15745124220848083,2.537465810775757,0.0,0.0,304.5264892578125,0.0,984.0,1088.0,75.52445983886719,0.0,265.5832214355469,0.0035023337695747614,283.6879577636719
0.33516520261764526,2.5485622882843018,0.0,0.0,304.61920166015625,0.0,988.0,1755.0,75.50489044189453,0.0,265.4026794433594,0.003501982893794775,283.70733642578125
0.6821439862251282,2.5598084926605225,0.0,0.0,304.70880126953125,0.0,968.0,2203.0,75.48511505126953,0.0,265.2406921386719,0.0035017114132642746,283.7262878417969
0.7212032079696655,2.571068525314331,0.0,0.0,304.794921875,0.0,949.0,2690.0,75.46556854248047,0.0,265.0933837890625,0.003501489758491516,283.7447814941406
0.39293691515922546,2.582207202911377,0.0,0.0,304.87713623046875,0.0,901.0,2690.0,75.44669342041016,0.0,264.95697021484375,0.0035012876614928246,283.76275634765625
-0.15789595246315002,2.593088150024414,0.0,0.0,304.9549865722656,0.0,837.0,1474.0,75.42892456054688,3.21610689163208,264.82763671875,0.003501075552776456,283.7801818847656
-0.7625876069068909,2.603576183319092,0.0,0.0,305.0281066894531,0.0,776.0,1510.0,75.41270446777344,3.7446722984313965,264.7015380859375,0.003500823164358735,283.79705810546875
-1.2524303197860718,2.6135356426239014,0.0,0.0,305.0960693359375,0.0,715.0,1127.0,75.39846801757812,3.7446725368499756,264.57489013671875,0.003500500461086631,283.8132629394531
-1.5071812868118286,2.622830390930176,0.0,0.0,305.1584167480469,0.0,679.0,1127.0,75.38666534423828,3.7446722984313965,264.4438781738281,0.0035000781062990427,283.828857421875
-1.62898588180542,2.6313250064849854,0.0,0.0,305.21478271484375,0.0,652.0,764.0,75.37771606445312,3.7446725368499756,264.3046875,0.003499525599181652,283.8437194824219
-1.6690731048583984,2.6388838291168213,0.0,0.0,305.26470947265625,0.0,662.0,1617.0,75.37207794189453,6.114765167236328,264.1534729003906,0.0034988131374120712,283.8578186035156
