vs,tmmn,pr,th,erc,sph,NDVI,FireMask,pdsi,PrevFireMask,elevation,population,tmmx
2.9465584754943848,283.9686279296875,0.0,236.4816131591797,85.00304412841797,0.005343111231923103,7359.0,0.0,1.258298635482788,0.0,1334.0,0.1535242199897766,302.093994140625
2.9520912170410156,283.95172119140625,0.0,237.23715209960938,84.88420104980469,0.005360031500458717,4922.0,0.0,1.2763434648513794,0.0,1294.0,1.944002628326416,302.0807189941406
2.957460403442383,283.9319763183594,0.0,237.9483184814453,84.76382446289062,0.005377124063670635,2995.0,0.0,1.2787744998931885,0.0,1277.0,1.9891974925994873,302.0705261230469
2.9626364707946777,283.9102783203125,0.0,238.61410522460938,84.64434051513672,0.00539410300552845,3557.0,0.0,1.2478851079940796,0.0,1266.0,2.7923879623413086,302.0627746582031
2.967590570449829,283.8876037597656,0.0,239.23348999023438,84.52816009521484,0.00541068147867918,4621.0,0.0,1.1573741436004639,0.0,1261.0,0.343392014503479,302.056884765625
2.972292900085449,283.86480712890625,0.0,239.8054656982422,84.41769409179688,0.005426573101431131,4621.0,0.0,0.9823040962219238,0.0,1260.0,0.34339195489883423,302.0521545410156
2.976714611053467,283.8428649902344,0.0,240.32901000976562,84.31536865234375,0.005441491957753897,3693.0,0.0,0.7772090435028076,0.0,1260.0,0.343392014503479,302.0480041503906
2.9808261394500732,283.8226623535156,0.0,240.80313110351562,84.22358703613281,0.005455151200294495,4090.0,0.0,0.6041297316551208,0.0,1260.0,0.34339195489883423,302.04376220703125
2.984598398208618,283.8050842285156,0.0,241.22677612304688,84.14478302001953,0.005467264447361231,3527.0,0.0,0.5251068472862244,0.0,1260.0,0.34339195489883423,302.038818359375
2.988002061843872,283.7911071777344,0.0,241.59896850585938,84.08135223388672,0.005477545782923698,2471.0,0.0,0.5861415863037109,0.0,1267.0,0.8051465749740601,302.0325012207031
2.9910075664520264,283.7816162109375,0.0,241.91867065429688,84.03572082519531,0.005485708359628916,2471.0,0.0,0.7506800889968872,0.0,1266.0,0.9656208753585815,302.02423095703125
2.9935860633850098,283.77752685546875,0.0,242.18487548828125,84.01030731201172,0.005491465330123901,2892.0,0.0,0.9557135701179504,0.0,1265.0,2.6932239532470703,302.0133361816406
2.9957079887390137,283.7797546386719,0.0,242.39657592773438,84.00752258300781,0.0054945312440395355,3851.0,0.0,1.138222098350525,0.0,1262.0,3.475713014602661,301.9991760253906
2.9973208904266357,283.78924560546875,0.0,242.5408477783203,84.03011322021484,0.005494930315762758,5521.0,0.0,1.2387595176696777,0.0,1263.0,3.543041229248047,301.9829406738281
2.9983837604522705,283.8059997558594,0.0,242.59486389160156,84.07846069335938,0.005493292585015297,4667.0,0.0,1.2752526998519897,0.0,1264.0,3.0746078491210938,301.96807861328125
2.9989376068115234,283.8289794921875,0.0,242.56480407714844,84.14985656738281,0.005489788483828306,4667.0,0.0,1.2756068706512451,0.0,1264.0,2.099553346633911,301.9545593261719
2.999025583267212,283.8572082519531,0.0,242.45785522460938,84.24152374267578,0.005484568886458874,3698.0,0.0,1.2527480125427246,0.0,1265.0,2.0938501358032227,301.9421081542969
2.9986910820007324,283.8896789550781,0.0,242.28118896484375,84.3506851196289,0.005477784667164087,4813.0,0.0,1.2196018695831299,0.0,1266.0,1.4713361263275146,301.9305114746094
2.9979779720306396,283.9253845214844,0.0,242.04200744628906,84.47455596923828,0.005469584837555885,3137.0,0.0,1.187170386314392,0.0,1266.0,1.544624924659729,301.9195251464844
2.996929168701172,283.9632873535156,0.0,241.74746704101562,84.6103515625,0.00546012120321393,2829.0,0.0,1.1512165069580078,0.0,1270.0,1.8486137390136719,301.90899658203125
2.995588541030884,284.00244140625,0.0,241.40475463867188,84.75530242919922,0.0054495432414114475,2593.0,0.0,1.1013189554214478,0.0,1272.0,2.021681785583496,301.89862060546875
2.9939992427825928,284.0417785644531,0.0,241.02105712890625,84.90663146972656,0.005438001360744238,2593.0,0.0,1.0271351337432861,0.0,1276.0,2.19852352142334,301.88818359375
2.9922049045562744,284.080322265625,0.0,240.60357666015625,85.0615463256836,0.005425646435469389,3987.0,0.0,0.9183143377304077,0.0,1282.0,1.889794945716858,301.87750244140625
2.990248680114746,284.1170654296875,0.0,240.1594696044922,85.21727752685547,0.005412628408521414,5795.0,0.0,0.7339419722557068,0.0,1287.0,1.738051176071167,301.8663024902344
2.9881744384765625,284.1509704589844,0.0,239.6959228515625,85.37104797363281,0.005399097688496113,3941.0,0.0,0.4859042763710022,0.0,1292.0,1.738051176071167,301.8543701171875
2.986025333404541,284.18109130859375,0.0,239.22012329101562,85.52006530761719,0.005385204218327999,3809.0,0.0,0.2396152913570404,0.0,1298.0,1.738051176071167,301.8415222167969
2.983844757080078,284.20635986328125,0.0,238.7392578125,85.66156005859375,0.005371099337935448,3809.0,0.0,0.060489121824502945,0.0,1297.0,1.738051176071167,301.8274841308594
2.9816763401031494,284.225830078125,0.0,238.260498046875,85.79275512695312,0.005356932524591684,4848.0,0.0,0.012795531190931797,0.0,1293.0,1.738051176071167,301.8120422363281
2.9795632362365723,284.2384338378906,0.0,237.79103088378906,85.91085815429688,0.005342854652553797,2867.0,0.0,0.10874361544847488,0.0,1300.0,1.5436177253723145,301.7949523925781
2.9775490760803223,284.2431945800781,0.0,237.33804321289062,86.01310729980469,0.005329015664756298,3436.0,0.0,0.28817203640937805,0.0,1293.0,1.3982250690460205,301.7760314941406
2.975677490234375,284.2391052246094,0.0,236.90870666503906,86.09671020507812,0.005315565969794989,2531.0,0.0,0.4855746626853943,0.0,1300.0,1.3982250690460205,301.7550048828125
2.973991632461548,284.22515869140625,0.0,236.51022338867188,86.15888977050781,0.005302656441926956,2531.0,0.0,0.6354453563690186,0.0,1310.0,1.3982250690460205,301.731689453125
2.9725348949432373,284.2003479003906,0.0,236.14974975585938,86.19686889648438,0.005290437024086714,2442.0,0.0,0.6922045946121216,0.0,1309.0,3.219655990600586,301.7058410644531
2.9712073802948,284.162841796875,0.0,235.79934692382812,86.21005249023438,0.005278421100229025,2707.0,0.0,0.691206693649292,0.0,1313.0,0.37536168098449707,301.6758728027344
2.9697275161743164,284.1111145019531,0.0,235.3904571533203,86.20294189453125,0.005265365820378065,2489.0,0.0,0.6676918268203735,0.0,1411.0,0.3753616511821747,301.6391906738281
2.9681105613708496,284.0466613769531,0.0,234.9304962158203,86.17756652832031,0.005251383408904076,2645.0,0.0,0.6555095911026001,0.0,1448.0,0.3753616511821747,301.5965576171875
2.966383218765259,283.970947265625,0.0,234.42970275878906,86.13580322265625,0.0052366373129189014,2546.0,0.0,0.6889035701751709,0.0,1379.0,0.3753616213798523,301.54901123046875
2.964571952819824,283.8854675292969,0.0,233.89830017089844,86.07953643798828,0.005221290979534388,2546.0,0.0,0.8246616721153259,0.0,1385.0,0.37536168098449707,301.4974060058594
2.962703227996826,283.7917785644531,0.0,233.34652709960938,86.01065826416016,0.005205507855862379,2810.0,0.0,1.0234662294387817,0.0,1403.0,0.3753616213798523,301.4427490234375
2.960803508758545,283.6913757324219,0.0,232.78457641601562,85.93104553222656,0.005189451389014721,3110.0,0.0,1.1965845823287964,0.0,1439.0,0.3753616511821747,301.38592529296875
2.95889949798584,283.58575439453125,0.0,232.2227020263672,85.84259033203125,0.005173284560441971,4014.0,0.0,1.2552839517593384,0.0,1535.0,0.3753616511821747,301.32794189453125
2.957017660140991,283.4764099121094,0.0,231.67111206054688,85.74717712402344,0.005157170817255974,6651.0,0.0,1.107094645500183,0.0,1700.0,0.3753616511821747,301.2696838378906
2.9551846981048584,283.3648986816406,0.0,231.14004516601562,85.64669036865234,0.005141273140907288,6651.0,0.0,0.7159400582313538,0.0,1654.0,0.3753616511821747,301.2121276855469
2.9534268379211426,283.2527160644531,0.0,230.63970947265625,85.54301452636719,0.0051257554441690445,7189.0,0.0,0.1995062530040741,0.0,1568.0,0.3753616511821747,301.15618896484375
2.951770782470703,283.1413879394531,0.0,230.18032836914062,85.43803405761719,0.005110780708491802,5683.0,0.0,-0.308602511882782,0.0,1514.0,0.20458897948265076,301.10284423828125
2.950242757797241,283.0323791503906,0.0,229.77215576171875,85.3336410522461,0.005096512380987406,5647.0,0.0,-0.6747820377349854,0.0,1506.0,0.0,301.0530090332031
2.9488697052001953,282.9272155761719,0.0,229.4253692626953,85.2317123413086,0.005083113443106413,5604.0,0.0,-0.821662425994873,0.0,1566.0,0.0,301.00762939453125
2.9476780891418457,282.8274230957031,0.0,229.15023803710938,85.1341323852539,0.005070747807621956,5604.0,0.0,-0.8305026292800903,0.0,1701.0,0.0,300.9676513671875
2.9466943740844727,282.7345275878906,0.0,228.9569549560547,85.04280090332031,0.005059577990323305,5960.0,0.0,-0.7632767558097839,0.0,1818.0,0.0,300.93402099609375
2.9459447860717773,282.6500244140625,0.0,228.85577392578125,84.95958709716797,0.00504976836964488,6420.0,0.0,-0.6803497672080994,0.0,1829.0,0.0,300.9076843261719
2.9454562664031982,282.5754089355469,0.0,228.8568878173828,84.88638305664062,0.0050414809957146645,5659.0,0.0,-0.6420621871948242,0.0,1753.0,0.0,300.88958740234375
2.9452552795410156,282.51220703125,0.0,228.9705352783203,84.82508087158203,0.005034880246967077,4699.0,0.0,-0.6786972284317017,0.0,1674.0,0.0,300.8806457519531
2.9453680515289307,282.4619140625,0.0,229.2069549560547,84.77754974365234,0.005030129104852676,4378.0,0.0,-0.7392513155937195,0.0,1760.0,0.0,300.8818054199219
2.9456284046173096,282.4234313964844,0.0,229.5701904296875,84.74308776855469,0.005027228035032749,4378.0,0.0,-0.7593585848808289,0.0,1683.0,0.0,300.8946838378906
2.9456608295440674,282.3914794921875,0.0,230.04734802246094,84.71649169921875,0.005025846417993307,4495.0,0.0,-0.674653172492981,0.0,1726.0,0.0,300.92047119140625
2.9455201625823975,282.3656311035156,0.0,230.63018798828125,84.69685363769531,0.005025880876928568,4476.0,0.0,-0.4076986014842987,0.0,1719.0,0.0,300.9578857421875
