FireMask,tmmn,pr,tmmx,sph,erc,elevation,vs,th,NDVI,pdsi,population,PrevFireMask
0.0,287.5389709472656,0.0,306.9154968261719,0.00657816743478179,78.88433074951172,595.0,3.109034776687622,294.4755859375,3424.0,-2.2921247482299805,0.0058328136801719666,0.0
0.0,287.5520324707031,0.0,306.8706359863281,0.006555423606187105,79.07062530517578,524.0,3.1069061756134033,294.3082580566406,2695.0,-2.330536365509033,0.0,0.0
0.0,287.5668640136719,0.0,306.7981262207031,0.006528611294925213,79.26693725585938,540.0,3.1046805381774902,294.1593933105469,2646.0,-2.370485305786133,0.0,0.0
0.0,287.583251953125,0.0,306.7010803222656,0.0064982580952346325,79.47129821777344,522.0,3.1023974418640137,294.02813720703125,2646.0,-2.4075357913970947,0.003861631266772747,0.0
0.0,287.600830078125,0.0,306.58258056640625,0.0064648897387087345,79.6817398071289,471.0,3.1000967025756836,293.9134826660156,2668.0,-2.4428560733795166,0.023213626816868782,0.0
0.0,287.6194152832031,0.0,306.4457092285156,0.006429032422602177,79.89630126953125,534.0,3.0978176593780518,293.8145751953125,2370.0,-2.483790397644043,0.05285109579563141,0.0
0.0,287.6386413574219,0.0,306.29351806640625,0.006391213275492191,80.11299896240234,594.0,3.095600128173828,293.7304382324219,1283.0,-2.537693500518799,0.24564561247825623,0.0
0.0,287.6582946777344,0.0,306.129150390625,0.006351958494633436,80.32987976074219,645.0,3.0934839248657227,293.6601867675781,1283.0,-2.6131179332733154,1.039029598236084,0.0
0.0,287.6780700683594,0.0,305.9556579589844,0.006311794277280569,80.54496765136719,701.0,3.091508626937866,293.6028747558594,2640.0,-2.725665807723999,1.0390297174453735,0.0
0.0,287.69769287109375,0.0,305.7761535644531,0.006271247286349535,80.75629425048828,770.0,3.0897140502929688,293.5576171875,2085.0,-2.8582427501678467,1.039029836654663,0.0
0.0,287.7168884277344,0.0,305.5937194824219,0.006230843719094992,80.96189880371094,787.0,3.088139533996582,293.5234680175781,2085.0,-2.9852755069732666,1.6211798191070557,0.0
0.0,287.7353820800781,0.0,305.4114074707031,0.006191110238432884,81.15980529785156,796.0,3.086824893951416,293.4994812011719,2027.0,-3.081191301345825,2.3024935722351074,0.0
0.0,287.7528991699219,0.0,305.2323303222656,0.006152573507279158,81.3480453491211,798.0,3.0858099460601807,293.4847717285156,3003.0,-3.12662935256958,1.048802375793457,0.0
0.0,287.7691345214844,0.0,305.0596008300781,0.00611575972288847,81.524658203125,805.0,3.085134267807007,293.4783935546875,3043.0,-3.1339993476867676,1.0390297174453735,0.0
0.0,287.7838134765625,0.0,304.8962707519531,0.006081195082515478,81.68767547607422,807.0,3.0848374366760254,293.4794616699219,3043.0,-3.117558002471924,1.039029598236084,0.0
0.0,287.79669189453125,0.0,304.7454528808594,0.006049405783414841,81.83512115478516,808.0,3.0849592685699463,293.48699951171875,3035.0,-3.090789556503296,1.0390297174453735,0.0
0.0,287.8074645996094,0.0,304.6101989746094,0.006020919419825077,81.96502685546875,814.0,3.0855391025543213,293.5001220703125,2831.0,-3.0671768188476562,0.005308899562805891,0.0
0.0,287.81585693359375,0.0,304.4936218261719,0.00599626125767827,82.075439453125,814.0,3.0866172313690186,293.51788330078125,2831.0,-3.0547585487365723,0.0,0.0
0.0,287.82159423828125,0.0,304.3988037109375,0.005975958425551653,82.16437530517578,841.0,3.0882327556610107,293.5393981933594,2505.0,-3.044191598892212,0.0,0.0
