tmmn,pr,erc,elevation,PrevFireMask,th,population,pdsi,tmmx,FireMask,vs,NDVI,sph
277.284423828125,0.0,55.34419631958008,2292.0,0.0,165.95065307617188,0.0,-1.2644383907318115,297.0484924316406,0.0,2.3565399646759033,5257.0,0.006455188151448965
277.1004943847656,0.0,54.71023941040039,2226.0,0.0,165.4788055419922,0.0,-1.0060044527053833,297.13641357421875,0.0,2.3591806888580322,5030.0,0.006439556367695332
276.9087219238281,0.0,54.035037994384766,2129.0,0.0,165.10452270507812,0.0,-0.66630619764328,297.23748779296875,0.0,2.362600564956665,6074.0,0.006423388607800007
276.7110290527344,0.0,53.326900482177734,2027.0,0.0,164.8182373046875,0.00043281205580569804,-0.34462910890579224,297.349609375,0.0,2.366717576980591,6162.0,0.0064068445935845375
276.50927734375,0.0,52.5941162109375,2026.0,0.0,164.61038208007812,0.010603882372379303,-0.14025869965553284,297.4707336425781,0.0,2.3714494705200195,6162.0,0.00639008404687047
276.305419921875,0.0,51.844993591308594,1989.0,0.0,164.47137451171875,0.012380748987197876,-0.13951481878757477,297.5987548828125,0.0,2.3767144680023193,5568.0,0.006373265292495489
276.101318359375,0.0,51.08782196044922,1994.0,0.0,164.3916473388672,0.004934951197355986,-0.31240999698638916,297.7315979003906,0.0,2.3824305534362793,5690.0,0.006356548983603716
275.8988952636719,0.0,50.330909729003906,2001.0,0.0,164.36163330078125,0.004626476671546698,-0.5699484944343567,297.8671569824219,0.0,2.3885159492492676,5648.0,0.006340093445032835
275.7000732421875,0.0,49.58255386352539,1957.0,0.0,164.37176513671875,0.00015236565377563238,-0.8228516578674316,298.0033874511719,0.0,2.3948886394500732,5648.0,0.006324058398604393
275.50677490234375,0.0,48.851051330566406,1928.0,0.0,164.4124755859375,0.019274156540632248,-0.9819045066833496,298.13818359375,0.0,2.4014666080474854,4728.0,0.006308603100478649
275.3208312988281,0.0,48.14470291137695,1980.0,0.0,164.4741973876953,0.020301453769207,-1.0400080680847168,298.2694396972656,0.0,2.408167600631714,3615.0,0.006293886806815863
275.14422607421875,0.0,47.47180938720703,1990.0,0.0,164.54733276367188,0.020437518134713173,-1.0497766733169556,298.3951416015625,0.0,2.414910316467285,3772.0,0.00628006923943758
274.97882080078125,0.0,46.840667724609375,2021.0,0.0,164.62234497070312,0.012728432193398476,-1.0230369567871094,298.5131530761719,0.0,2.42161226272583,3772.0,0.0062673091888427734
274.8265380859375,0.0,46.25957489013672,1979.0,0.0,164.6896514892578,0.0163104310631752,-0.9716152548789978,298.62139892578125,0.0,2.428191661834717,4699.0,0.006255766376852989
274.6893005371094,0.0,45.736839294433594,1927.0,0.0,164.7396697998047,0.020437516272068024,-0.9021828770637512,298.7178039550781,0.0,2.4345664978027344,4129.0,0.006245600525289774
274.5689697265625,0.0,45.2807502746582,1911.0,0.0,164.76284790039062,0.01820850744843483,-0.7843559980392456,298.80029296875,0.0,2.440654993057251,4669.0,0.006236969958990812
274.4674987792969,0.0,44.89961242675781,1903.0,0.0,164.74960327148438,0.0008209587540477514,-0.6375559568405151,298.8667907714844,0.0,2.4463751316070557,4669.0,0.006230034865438938
274.38677978515625,0.0,44.601722717285156,1900.0,0.0,164.6903839111328,0.0,-0.4946735203266144,298.9151916503906,0.0,2.4516446590423584,4978.0,0.006224954035133123
274.3287048339844,0.0,44.3953857421875,1896.0,0.0,164.57559204101562,0.0,-0.38859933614730835,298.9433898925781,0.0,2.4563820362091064,5156.0,0.006221887189894915
274.29473876953125,0.0,44.28263854980469,1887.0,0.0,164.42190551757812,0.0,-0.3337461054325104,298.95318603515625,0.0,2.460740566253662,3843.0,0.006221364717930555
274.2837829589844,0.0,44.25058364868164,1876.0,0.0,164.28089904785156,0.0,-0.30402544140815735,298.9521484375,0.0,2.4651832580566406,3843.0,0.006224086508154869
274.2940368652344,0.0,44.293067932128906,1875.0,0.0,164.1514892578125,0.010003345087170601,-0.30208125710487366,298.9408264160156,0.0,2.469696283340454,3312.0,0.006229723338037729
274.32366943359375,0.0,44.40431594848633,1868.0,0.0,164.03060913085938,0.030863532796502113,-0.33220162987709045,298.9195556640625,0.0,2.474247455596924,3197.0,0.006237913388758898
274.370849609375,0.0,44.57855987548828,1862.0,0.0,163.91519165039062,0.042504072189331055,-0.399087518453598,298.88861083984375,0.0,2.4788050651550293,3038.0,0.006248294375836849
274.4337463378906,0.0,44.81002426147461,1851.0,0.0,163.80215454101562,0.04601443558931351,-0.5330397486686707,298.8482666015625,0.0,2.483336925506592,3038.0,0.006260504014790058
274.5105285644531,0.0,45.09294128417969,1840.0,0.0,163.6884307861328,0.047641605138778687,-0.7194408178329468,298.798828125,0.0,2.487811326980591,4132.0,0.0062741804867982864
274.5993347167969,0.0,45.421531677246094,1839.0,0.0,163.57090759277344,0.04824841395020485,-0.9140934944152832,298.7406005859375,0.0,2.4921960830688477,4058.0,0.006288961041718721
