pr,pdsi,population,tmmx,vs,FireMask,sph,th,PrevFireMask,elevation,NDVI,tmmn,erc
2.57085919380188,2.1857941150665283,1.8785521984100342,298.73797607421875,3.740997791290283,0.0,0.0048328423872590065,236.2352294921875,0.0,21.0,5732.0,280.693115234375,68.10716247558594
2.5955097675323486,2.207606315612793,2.119072437286377,298.75238037109375,3.7249739170074463,0.0,0.004842088557779789,235.89559936523438,0.0,19.0,4708.0,280.7080078125,67.96697998046875
2.621959924697876,2.2160744667053223,3.4921369552612305,298.76312255859375,3.7053792476654053,0.0,0.004851371981203556,235.45614624023438,0.0,18.0,5599.0,280.7295227050781,67.83876037597656
2.6499733924865723,2.2146120071411133,5.1558332443237305,298.7705383300781,3.6826295852661133,0.0,0.0048606437630951405,234.92230224609375,0.0,16.0,5593.0,280.7568359375,67.72138214111328
2.6793131828308105,2.207960605621338,4.464937686920166,298.7750244140625,3.6571407318115234,0.0,0.0048698540776968,234.2995147705078,0.0,15.0,5580.0,280.7891845703125,67.61373138427734
2.7097437381744385,2.2007176876068115,1.445547103881836,298.77691650390625,3.6293282508850098,0.0,0.004878954030573368,233.59323120117188,0.0,12.0,5580.0,280.8257751464844,67.51470184326172
2.741028070449829,2.197469472885132,1.2838702201843262,298.7765808105469,3.5996079444885254,0.0,0.004887893795967102,232.80886840820312,0.0,10.0,3311.0,280.86578369140625,67.42317962646484
2.772930145263672,2.1983578205108643,1.2838701009750366,298.7743835449219,3.5683958530426025,0.0,0.0048966240137815475,231.95187377929688,0.0,8.0,3982.0,280.9084777832031,67.33805084228516
2.805213451385498,2.200763702392578,0.6319869160652161,298.77069091796875,3.536107301712036,0.0,0.004905095789581537,231.02769470214844,0.0,7.0,3176.0,280.9530029296875,67.25820922851562
2.837641716003418,2.2041091918945312,0.0,298.7658386230469,3.5031583309173584,0.0,0.004913259297609329,230.04176330566406,0.0,6.0,2305.0,280.9986267089844,67.18253326416016
2.869978427886963,2.2078163623809814,0.0,298.76025390625,3.4699647426605225,0.0,0.004921065177768469,228.99952697753906,0.0,6.0,2598.0,281.0445251464844,67.10990905761719
2.901987314224243,2.211317300796509,0.0,298.7542419433594,3.4369421005249023,0.0,0.004928464535623789,227.9064178466797,0.0,6.0,2598.0,281.08990478515625,67.03923797607422
2.933432102203369,2.214520215988159,0.0,298.7481994628906,3.404505968093872,0.0,0.004935407545417547,226.76788330078125,0.0,6.0,2647.0,281.1340026855469,66.96939086914062
2.964076519012451,2.2179863452911377,0.0052096345461905,298.74249267578125,3.373072624206543,0.0,0.004941845312714577,225.58935546875,0.0,6.0,2663.0,281.1759948730469,66.8992691040039
2.9936838150024414,2.2223238945007324,0.22861063480377197,298.7374267578125,3.34305739402771,0.0,0.004947727546095848,224.37628173828125,0.0,7.0,4329.0,281.2151184082031,66.82775115966797
3.0220179557800293,2.2281405925750732,0.22861060500144958,298.7334289550781,3.3148763179779053,0.0,0.004953006282448769,223.13409423828125,0.0,9.0,3177.0,281.2505798339844,66.75373077392578
3.048842430114746,2.2357683181762695,29.859939575195312,298.7308349609375,3.288944721221924,0.0,0.004957630764693022,221.8682403564453,0.0,11.0,5566.0,281.28155517578125,66.67609405517578
3.073920726776123,2.2448055744171143,17.874156951904297,298.7300109863281,3.265678882598877,0.0,0.0049615525640547276,220.58416748046875,0.0,12.0,5566.0,281.30731201171875,66.5937271118164
3.0970168113708496,2.25508975982666,1.1612293720245361,298.7313232421875,3.2454941272735596,0.0,0.004964722320437431,219.2872772216797,0.0,10.0,6335.0,281.3270263671875,66.50552368164062
3.1180167198181152,2.2664735317230225,0.1316552460193634,298.73486328125,3.227962017059326,0.0,0.004967054817825556,217.945068359375,0.0,9.0,4086.0,281.34075927734375,66.41158294677734
3.1371800899505615,2.278869152069092,0.07571907341480255,298.7401123046875,3.2114109992980957,0.0,0.004968486726284027,216.48367309570312,0.0,8.0,2750.0,281.3502502441406,66.31441497802734
3.1547062397003174,2.294987201690674,0.39097219705581665,298.7467956542969,3.195760488510132,0.0,0.004969086963683367,214.91360473632812,0.0,7.0,2556.0,281.3559875488281,66.21465301513672
