,FireMask,elevation,th,vs,tmmn,tmmx,sph,pr,pdsi,NDVI,population,erc,PrevFireMask
FireMask,1.0,0.14251698393864676,0.09494468985466922,0.02352725625224489,-0.00718570440888503,-0.0010109011830495606,-0.05276843390221167,,-0.10391314576689104,0.10748780217586196,-0.007988144872032902,0.045679970551294316,0.42823213115395287
elevation,0.14251698393864676,1.0,-0.2929796493501272,0.05210204893275051,-0.3041988393872132,-0.6543353693619987,-0.7451156442094259,,0.15466959962457796,0.5726636182142137,-0.41854480418758,-0.09094728166375304,0.15663266969802384
th,0.09494468985466922,-0.2929796493501272,1.0,0.6013691104147909,0.2193193561484886,0.10205901595188119,0.15285630789518004,,-0.31525560660972796,0.023546904256193563,0.42874558470290247,0.2971229782528696,0.08940198816662798
vs,0.02352725625224489,0.05210204893275051,0.6013691104147909,1.0,0.09439379062085046,-0.3903748732341295,-0.29793769836401507,,-0.48174051860072264,0.1578992326206087,0.22529814884853042,0.24054628069578163,0.0173076067576927
tmmn,-0.00718570440888503,-0.3041988393872132,0.2193193561484886,0.09439379062085046,1.0,-0.13297055480253037,0.4692717161769398,,-0.1417913147387066,-0.115116735957085,0.15290538097206954,0.742724085444374,-0.016159085523198818
tmmx,-0.0010109011830495606,-0.6543353693619987,0.10205901595188119,-0.3903748732341295,-0.13297055480253037,1.0,0.6311808489906211,,0.10049555982547755,-0.41088181866797285,0.14948756196495208,-0.20758529382865537,0.0028135621853429787
sph,-0.05276843390221167,-0.7451156442094259,0.15285630789518004,-0.29793769836401507,0.4692717161769398,0.6311808489906211,1.0,,-0.014244818980190269,-0.4361583528892973,0.22408636151991346,-0.01795455727389284,-0.052054049843310815
pr,,,,,,,,,,,,,
pdsi,-0.10391314576689104,0.15466959962457796,-0.31525560660972796,-0.48174051860072264,-0.1417913147387066,0.10049555982547755,-0.014244818980190269,,1.0,0.05467348393657778,-0.1457582767161368,-0.20583650380349802,-0.11595655594242717
NDVI,0.10748780217586196,0.5726636182142137,0.023546904256193563,0.1578992326206087,-0.115116735957085,-0.41088181866797285,-0.4361583528892973,,0.05467348393657778,1.0,0.008791741828484445,0.0769872576114364,0.12061472249735035
population,-0.007988144872032902,-0.41854480418758,0.42874558470290247,0.22529814884853042,0.15290538097206954,0.14948756196495208,0.22408636151991346,,-0.1457582767161368,0.008791741828484445,1.0,0.17872962705750856,-0.03793726728253612
erc,0.045679970551294316,-0.09094728166375304,0.2971229782528696,0.24054628069578163,0.742724085444374,-0.20758529382865537,-0.01795455727389284,,-0.20583650380349802,0.0769872576114364,0.17872962705750856,1.0,0.03733429042665623
PrevFireMask,0.42823213115395287,0.15663266969802384,0.08940198816662798,0.0173076067576927,-0.016159085523198818,0.0028135621853429787,-0.052054049843310815,,-0.11595655594242717,0.12061472249735035,-0.03793726728253612,0.03733429042665623,1.0
