,FireMask,elevation,th,vs,tmmn,tmmx,sph,pr,pdsi,NDVI,population,erc,PrevFireMask
FireMask,1.0,0.011956036129426141,-0.023281658732657418,0.027200085983563,-0.029061123760325446,0.03341989923117975,-0.025177624214273376,0.04379663859416925,-0.025322385738093724,0.038928029844230785,0.06308566034515957,0.02472233446074448,0.04595721572928064
elevation,0.011956036129426141,1.0,-0.658414374068323,0.18809265018979243,0.2983248876054319,-0.21508628920247141,-0.652011950169958,0.6176905762178573,-0.644790022485737,0.0633557527865353,0.2452294237997906,0.8365908752206459,-0.04818278976195446
th,-0.023281658732657418,-0.658414374068323,1.0,0.3826266107473947,-0.5470635390282078,0.454412150272427,0.3095676575860698,-0.7529392882505921,0.30441658065998944,-0.09219165537584895,-0.39511023013730784,-0.7000985377905682,0.06579218549923749
vs,0.027200085983563,0.18809265018979243,0.3826266107473947,1.0,-0.551278609563576,0.3969370321402451,-0.6014363648182073,-0.3037292967160458,-0.40163070335837153,-0.10576599369745557,-0.26009409703086683,0.23461038877445572,-0.009292632798435748
tmmn,-0.029061123760325446,0.2983248876054319,-0.5470635390282078,-0.551278609563576,1.0,-0.8819367166450448,0.30104908983640677,0.6993889370409856,0.08435095120497794,0.06116111669835558,0.43159000485351845,0.2525091457143145,-0.03889501673848664
tmmx,0.03341989923117975,-0.21508628920247141,0.454412150272427,0.3969370321402451,-0.8819367166450448,1.0,-0.23872489815834383,-0.7068595926469243,-0.08413576077209665,0.04060612407803817,-0.3568170704212613,-0.16655825454163667,0.06434335988902398
sph,-0.025177624214273376,-0.652011950169958,0.3095676575860698,-0.6014363648182073,0.30104908983640677,-0.23872489815834383,1.0,-0.26794488222683976,0.6752352729944178,0.008145629649275527,0.0032482716277120833,-0.7537829120793466,0.039292399942302096
pr,0.04379663859416925,0.6176905762178573,-0.7529392882505921,-0.3037292967160458,0.6993889370409856,-0.7068595926469243,-0.26794488222683976,1.0,-0.2779889185958097,0.10197580921762904,0.48549732993411526,0.5653426805307957,-0.0456059111647913
pdsi,-0.025322385738093724,-0.644790022485737,0.30441658065998944,-0.40163070335837153,0.08435095120497794,-0.08413576077209665,0.6752352729944178,-0.2779889185958097,1.0,0.024824916364783556,0.032851499536357104,-0.5277311059387072,-0.07777293247033744
NDVI,0.038928029844230785,0.0633557527865353,-0.09219165537584895,-0.10576599369745557,0.06116111669835558,0.04060612407803817,0.008145629649275527,0.10197580921762904,0.024824916364783556,1.0,0.3942301699427993,0.013462640481917499,0.0319799623705402
population,0.06308566034515957,0.2452294237997906,-0.39511023013730784,-0.26009409703086683,0.43159000485351845,-0.3568170704212613,0.0032482716277120833,0.48549732993411526,0.032851499536357104,0.3942301699427993,1.0,0.20542046091325916,-0.03588852389512964
erc,0.02472233446074448,0.8365908752206459,-0.7000985377905682,0.23461038877445572,0.2525091457143145,-0.16655825454163667,-0.7537829120793466,0.5653426805307957,-0.5277311059387072,0.013462640481917499,0.20542046091325916,1.0,-0.05117967241445981
PrevFireMask,0.04595721572928064,-0.04818278976195446,0.06579218549923749,-0.009292632798435748,-0.03889501673848664,0.06434335988902398,0.039292399942302096,-0.0456059111647913,-0.07777293247033744,0.0319799623705402,-0.03588852389512964,-0.05117967241445981,1.0
