,FireMask,elevation,th,vs,tmmn,tmmx,sph,pr,pdsi,NDVI,population,erc,PrevFireMask
FireMask,1.0,0.08048679508665747,0.06300787718821484,-0.09674724499017127,0.13376018860665098,-0.04549676483492782,-0.026431060586153184,,-0.045146962817153746,0.058163957720919486,-0.028106160435772905,0.084765404395765,0.27030434889745764
elevation,0.08048679508665747,1.0,0.0980366285917896,-0.25896924574703883,-0.04850113568336484,-0.3722501997326026,-0.309033766349786,,-0.5989506399475216,0.17140751708489013,-0.16925243045193827,-0.005165608520579743,0.013428659813438321
th,0.06300787718821484,0.0980366285917896,1.0,0.14068423810559122,0.350248982745066,0.05859431195145937,0.5462057171919847,,0.07370338282865031,0.06457894166563627,-0.3982080761538562,0.05252850192860704,0.011066377225848231
vs,-0.09674724499017127,-0.25896924574703883,0.14068423810559122,1.0,0.2744407209268625,-0.2822285185288056,0.7542976983703663,,0.10690701056117541,-0.05904674510061882,0.2555585040280911,0.39731602962976176,-0.07178927152002758
tmmn,0.13376018860665098,-0.04850113568336484,0.350248982745066,0.2744407209268625,1.0,-0.36605167572149966,0.43686982382698464,,0.050432414713836034,0.19118234416086424,-0.179548110748471,0.8208258917715335,0.07222766153961509
tmmx,-0.04549676483492782,-0.3722501997326026,0.05859431195145937,-0.2822285185288056,-0.36605167572149966,1.0,0.11358840120073271,,0.24808410660262106,-0.19044908809272074,-0.02430911555121833,-0.7114192536280759,-0.026165643332205335
sph,-0.026431060586153184,-0.309033766349786,0.5462057171919847,0.7542976983703663,0.43686982382698464,0.11358840120073271,1.0,,0.22061937447328975,-0.05829973106861845,0.053182052448015674,0.19720711481522374,-0.043296904683110364
pr,,,,,,,,,,,,,
pdsi,-0.045146962817153746,-0.5989506399475216,0.07370338282865031,0.10690701056117541,0.050432414713836034,0.24808410660262106,0.22061937447328975,,1.0,-0.07149642778178748,0.024174973883185784,0.02518599418382664,-0.021608464092201733
NDVI,0.058163957720919486,0.17140751708489013,0.06457894166563627,-0.05904674510061882,0.19118234416086424,-0.19044908809272074,-0.05829973106861845,,-0.07149642778178748,1.0,-0.20109931046087223,0.18089707691078025,0.031036810065580518
population,-0.028106160435772905,-0.16925243045193827,-0.3982080761538562,0.2555585040280911,-0.179548110748471,-0.02430911555121833,0.053182052448015674,,0.024174973883185784,-0.20109931046087223,1.0,0.010670639068892393,-0.03591979626830113
erc,0.084765404395765,-0.005165608520579743,0.05252850192860704,0.39731602962976176,0.8208258917715335,-0.7114192536280759,0.19720711481522374,,0.02518599418382664,0.18089707691078025,0.010670639068892393,1.0,0.061392327176891234
PrevFireMask,0.27030434889745764,0.013428659813438321,0.011066377225848231,-0.07178927152002758,0.07222766153961509,-0.026165643332205335,-0.043296904683110364,,-0.021608464092201733,0.031036810065580518,-0.03591979626830113,0.061392327176891234,1.0
