,FireMask,elevation,th,vs,tmmn,tmmx,sph,pr,pdsi,NDVI,population,erc,PrevFireMask
FireMask,1.0,-0.017941687156274606,-0.032534293948489175,-0.11426617541001224,0.15554455628553934,0.12893523699134068,-0.01457689055043015,,0.05127933541496404,-0.0015957587486166579,0.08041366348842766,0.06707864773219895,0.3050105517717144
elevation,-0.017941687156274606,1.0,0.039042085498730554,0.08347071376075368,-0.10627322862221,-0.3650756063273919,0.015798940528405015,,0.13338057009366655,0.22637744612167762,-0.44494636910631713,-0.002638095167881988,-0.0009707600456091639
th,-0.032534293948489175,0.039042085498730554,1.0,-0.3086143212876082,0.05564344133431149,0.32701200350315135,0.9228626550964771,,-0.7246576088544884,-0.42384453685848894,-0.3396464524759514,-0.90091607037594,-0.06229485019362209
vs,-0.11426617541001224,0.08347071376075368,-0.3086143212876082,1.0,-0.6346681404021992,-0.7245014625113405,-0.5087669892407226,,0.19135228397419948,-0.07250208671522705,0.3359563425911287,0.42518079245854756,-0.08609970101307103
tmmn,0.15554455628553934,-0.10627322862221,0.05564344133431149,-0.6346681404021992,1.0,0.47544859839135495,0.19242798490172172,,0.016211394754999737,0.08510740797129303,-0.041054837049723604,0.07888129003575849,0.11492117990731096
tmmx,0.12893523699134068,-0.3650756063273919,0.32701200350315135,-0.7245014625113405,0.47544859839135495,1.0,0.4804970405479736,,-0.33119430631362284,-0.15061734147952802,0.06875225825973062,-0.4155683409045167,0.10175860368901911
sph,-0.01457689055043015,0.015798940528405015,0.9228626550964771,-0.5087669892407226,0.19242798490172172,0.4804970405479736,1.0,,-0.7123833964627387,-0.41501034447233454,-0.35689315319331194,-0.9357919133774331,-0.04857294429346314
pr,,,,,,,,,,,,,
pdsi,0.05127933541496404,0.13338057009366655,-0.7246576088544884,0.19135228397419948,0.016211394754999737,-0.33119430631362284,-0.7123833964627387,,1.0,0.3008411630807153,0.1530491071030295,0.6900315612292635,0.07339036566395238
NDVI,-0.0015957587486166579,0.22637744612167762,-0.42384453685848894,-0.07250208671522705,0.08510740797129303,-0.15061734147952802,-0.41501034447233454,,0.3008411630807153,1.0,-0.10446360196882698,0.406300006465083,0.01811899515992115
population,0.08041366348842766,-0.44494636910631713,-0.3396464524759514,0.3359563425911287,-0.041054837049723604,0.06875225825973062,-0.35689315319331194,,0.1530491071030295,-0.10446360196882698,1.0,0.3667300066401743,0.07358528712096295
erc,0.06707864773219895,-0.002638095167881988,-0.90091607037594,0.42518079245854756,0.07888129003575849,-0.4155683409045167,-0.9357919133774331,,0.6900315612292635,0.406300006465083,0.3667300066401743,1.0,0.08278318878021651
PrevFireMask,0.3050105517717144,-0.0009707600456091639,-0.06229485019362209,-0.08609970101307103,0.11492117990731096,0.10175860368901911,-0.04857294429346314,,0.07339036566395238,0.01811899515992115,0.07358528712096295,0.08278318878021651,1.0
