,FireMask,elevation,th,vs,tmmn,tmmx,sph,pr,pdsi,NDVI,population,erc,PrevFireMask
FireMask,1.0,-0.06378780349776378,-0.03295640093382123,0.012744837039859258,0.04468132647008901,0.06144088195375342,0.021891577445245215,0.018420883056923423,0.006084300254221658,-0.01429364475482469,-0.011955592053095626,0.05103886555412334,-0.008000062061328231
elevation,-0.06378780349776378,1.0,0.040706471815951106,-0.12814516827845862,-0.40665632041768635,-0.32279952334420053,-0.11303835954693772,0.021798600644588727,0.23565214140176607,-0.2732212701797755,0.025340152159448702,-0.4496627288008221,0.11654460067904952
th,-0.03295640093382123,0.040706471815951106,1.0,0.5410503024505712,-0.4923481445354759,-0.2547958978714987,-0.6112608217842116,-0.10634728349945903,-0.09065861807335278,0.123720824509931,0.0996670287750583,-0.43361382725545217,0.07985752885835405
vs,0.012744837039859258,-0.12814516827845862,0.5410503024505712,1.0,-0.13667229948886528,0.2693413989100406,-0.0021362239324207956,0.07854772926854474,0.059125587735440265,0.16649548635943848,-0.05776716374169494,-0.14476166205307386,-0.13017958944819708
tmmn,0.04468132647008901,-0.40665632041768635,-0.4923481445354759,-0.13667229948886528,1.0,0.5297384833109386,0.4824433363592112,0.038921035282112736,0.26267756041041895,0.15166403863583816,-0.21907530772413675,0.9751429441342949,-0.11586251880679536
tmmx,0.06144088195375342,-0.32279952334420053,-0.2547958978714987,0.2693413989100406,0.5297384833109386,1.0,0.6038507614009497,0.14735687560835783,0.039775532694059416,0.056509235225034676,-0.03437616835599606,0.4948025911502778,-0.022525151050010038
sph,0.021891577445245215,-0.11303835954693772,-0.6112608217842116,-0.0021362239324207956,0.4824433363592112,0.6038507614009497,1.0,0.11714755608316255,-0.1990581899898788,-0.0551883357423874,-0.19204715625138313,0.35724975135775777,-0.09248210888145406
pr,0.018420883056923423,0.021798600644588727,-0.10634728349945903,0.07854772926854474,0.038921035282112736,0.14735687560835783,0.11714755608316255,1.0,0.11024461148113153,0.08452938284845418,0.016123224039412593,0.0026825715462229947,0.010289699447165526
pdsi,0.006084300254221658,0.23565214140176607,-0.09065861807335278,0.059125587735440265,0.26267756041041895,0.039775532694059416,-0.1990581899898788,0.11024461148113153,1.0,-0.005249359910402161,0.014347444854428354,0.2546272650113744,-0.06158263311190785
NDVI,-0.01429364475482469,-0.2732212701797755,0.123720824509931,0.16649548635943848,0.15166403863583816,0.056509235225034676,-0.0551883357423874,0.08452938284845418,-0.005249359910402161,1.0,0.09508495602094903,0.13483936942032343,-0.06879426092552389
population,-0.011955592053095626,0.025340152159448702,0.0996670287750583,-0.05776716374169494,-0.21907530772413675,-0.03437616835599606,-0.19204715625138313,0.016123224039412593,0.014347444854428354,0.09508495602094903,1.0,-0.2203105799743985,-0.016227849502661994
erc,0.05103886555412334,-0.4496627288008221,-0.43361382725545217,-0.14476166205307386,0.9751429441342949,0.4948025911502778,0.35724975135775777,0.0026825715462229947,0.2546272650113744,0.13483936942032343,-0.2203105799743985,1.0,-0.1185685010550849
PrevFireMask,-0.008000062061328231,0.11654460067904952,0.07985752885835405,-0.13017958944819708,-0.11586251880679536,-0.022525151050010038,-0.09248210888145406,0.010289699447165526,-0.06158263311190785,-0.06879426092552389,-0.016227849502661994,-0.1185685010550849,1.0
