,FireMask,elevation,th,vs,tmmn,tmmx,sph,pr,pdsi,NDVI,population,erc,PrevFireMask
FireMask,1.0,0.015234048666771718,0.0007995749121938931,0.0010110327266619312,-0.008240247254650914,0.0007599265629049684,-0.01032839315109498,,-0.01981267705964384,0.0006012002918597908,0.01850838748571818,0.013262370475587128,0.27728223668182755
elevation,0.015234048666771718,1.0,0.3860107296211324,-0.8074724849727312,-0.3082212407557032,0.8454003993898896,0.3741696997444319,,-0.778013912032975,0.8919090656199863,0.6601526729418461,0.39657804745465697,0.017730288687525447
th,0.0007995749121938931,0.3860107296211324,1.0,-0.36342176152812056,-0.7304240203030243,0.3458602518114116,-0.483604859883029,,-0.5108742590189641,0.28696271538599305,0.4167657125170828,0.8398812835681599,-0.027129246002371356
vs,0.0010110327266619312,-0.8074724849727312,-0.36342176152812056,1.0,0.5096120369483206,-0.7115398694702147,-0.3625988557568591,,0.783901842400736,-0.745953053542973,-0.5945110226105695,-0.41367545448275767,0.00529466163826569
tmmn,-0.008240247254650914,-0.3082212407557032,-0.7304240203030243,0.5096120369483206,1.0,-0.12636894939987034,0.48424871973508465,,0.5499568998296106,-0.20148393286559463,-0.4795106252031947,-0.8149876091902065,0.01207306778655299
tmmx,0.0007599265629049684,0.8454003993898896,0.3458602518114116,-0.7115398694702147,-0.12636894939987034,1.0,0.5103696980326768,,-0.7010431943661566,0.8055017690828989,0.5360582413569691,0.22353448588056432,0.00030784661128998566
sph,-0.01032839315109498,0.3741696997444319,-0.483604859883029,-0.3625988557568591,0.48424871973508465,0.5103696980326768,1.0,,-0.11080229047859098,0.4409615678129989,-0.016710035079843356,-0.5540830805280064,0.012151879249629861
pr,,,,,,,,,,,,,
pdsi,-0.01981267705964384,-0.778013912032975,-0.5108742590189641,0.783901842400736,0.5499568998296106,-0.7010431943661566,-0.11080229047859098,,1.0,-0.691282640247823,-0.6466917030406422,-0.6178206653192975,-0.024784605133415516
NDVI,0.0006012002918597908,0.8919090656199863,0.28696271538599305,-0.745953053542973,-0.20148393286559463,0.8055017690828989,0.4409615678129989,,-0.691282640247823,1.0,0.5641817878703242,0.2580737296150584,-0.011443100706468513
population,0.01850838748571818,0.6601526729418461,0.4167657125170828,-0.5945110226105695,-0.4795106252031947,0.5360582413569691,-0.016710035079843356,,-0.6466917030406422,0.5641817878703242,1.0,0.5477459871879644,0.022109877529621878
erc,0.013262370475587128,0.39657804745465697,0.8398812835681599,-0.41367545448275767,-0.8149876091902065,0.22353448588056432,-0.5540830805280064,,-0.6178206653192975,0.2580737296150584,0.5477459871879644,1.0,-0.005724147895218275
PrevFireMask,0.27728223668182755,0.017730288687525447,-0.027129246002371356,0.00529466163826569,0.01207306778655299,0.00030784661128998566,0.012151879249629861,,-0.024784605133415516,-0.011443100706468513,0.022109877529621878,-0.005724147895218275,1.0
