,FireMask,elevation,th,vs,tmmn,tmmx,sph,pr,pdsi,NDVI,population,erc,PrevFireMask
FireMask,1.0,0.08627906601240437,-0.027410424509706155,0.10184408312601745,-0.0990926579230711,0.003955249859114062,-0.09984878721537879,-0.09800092538211828,-0.09975630082431211,0.08808578513800587,-0.07211523325409991,0.08890904344796914,0.0014355587331365514
elevation,0.08627906601240437,1.0,-0.06700787750383315,0.06150760788086427,-0.2161986308473183,-0.3028539394384284,-0.19563460281332617,-0.16705583961066847,-0.34409426220520206,0.23564986389404427,-0.24347345143185006,-0.09801034954621295,-0.034274838792209314
th,-0.027410424509706155,-0.06700787750383315,1.0,0.4823994903373693,-0.3810037028979361,0.22084623504795237,-0.46295065473727887,-0.3102903772631834,-0.27709980644178,0.05412138496711639,-0.021724740170527945,0.06904640473138178,-0.004140430482636187
vs,0.10184408312601745,0.06150760788086427,0.4823994903373693,1.0,-0.8219680818576406,0.1609007818784571,-0.8590943450030857,-0.8238773402564871,-0.5412539504209956,0.30637884104562335,-0.3924339964118873,0.5272053483145477,-0.001364566253751926
tmmn,-0.0990926579230711,-0.2161986308473183,-0.3810037028979361,-0.8219680818576406,1.0,0.03508023947151029,0.8689482253441326,0.764389020007732,0.6766042865169718,-0.31226952536362484,0.32093979832600494,-0.4723413124356035,0.002570244679939455
tmmx,0.003955249859114062,-0.3028539394384284,0.22084623504795237,0.1609007818784571,0.03508023947151029,1.0,0.07476549223412622,0.05400293547524473,0.16947970663527961,-0.11101158735884878,0.3244645563392825,0.4847611510148413,0.03364216642120219
sph,-0.09984878721537879,-0.19563460281332617,-0.46295065473727887,-0.8590943450030857,0.8689482253441326,0.07476549223412622,1.0,0.8594248732879671,0.6710214667052561,-0.29730015460212966,0.37086427266404554,-0.5030415917649422,0.00469186479152668
pr,-0.09800092538211828,-0.16705583961066847,-0.3102903772631834,-0.8238773402564871,0.764389020007732,0.05400293547524473,0.8594248732879671,1.0,0.5895578250434123,-0.3230922187767774,0.39584061779698376,-0.5638533104972844,0.014402716417396703
pdsi,-0.09975630082431211,-0.34409426220520206,-0.27709980644178,-0.5412539504209956,0.6766042865169718,0.16947970663527961,0.6710214667052561,0.5895578250434123,1.0,-0.2923511969821729,0.33571523070376463,-0.1394666545397517,-0.01008470539587896
NDVI,0.08808578513800587,0.23564986389404427,0.05412138496711639,0.30637884104562335,-0.31226952536362484,-0.11101158735884878,-0.29730015460212966,-0.3230922187767774,-0.2923511969821729,1.0,-0.5238739415407683,0.11764176957651676,-0.036114282857571595
population,-0.07211523325409991,-0.24347345143185006,-0.021724740170527945,-0.3924339964118873,0.32093979832600494,0.3244645563392825,0.37086427266404554,0.39584061779698376,0.33571523070376463,-0.5238739415407683,1.0,0.022399782282147382,0.014832648266292558
erc,0.08890904344796914,-0.09801034954621295,0.06904640473138178,0.5272053483145477,-0.4723413124356035,0.4847611510148413,-0.5030415917649422,-0.5638533104972844,-0.1394666545397517,0.11764176957651676,0.022399782282147382,1.0,0.02072084509978096
PrevFireMask,0.0014355587331365514,-0.034274838792209314,-0.004140430482636187,-0.001364566253751926,0.002570244679939455,0.03364216642120219,0.00469186479152668,0.014402716417396703,-0.01008470539587896,-0.036114282857571595,0.014832648266292558,0.02072084509978096,1.0
