,FireMask,elevation,th,vs,tmmn,tmmx,sph,pr,pdsi,NDVI,population,erc,PrevFireMask
FireMask,1.0,0.2411333792535567,-0.016189046668414798,0.11732692429243032,-0.17772477096041417,-0.26978214525131655,-0.04768379547337613,,0.06692747957873833,0.17754273576917676,0.020387979579777706,-0.20071514676004878,0.35061033874343556
elevation,0.2411333792535567,1.0,-0.10805310241933713,0.5617789637666795,-0.6091273350104408,-0.9165702813669125,-0.5592433623836591,,0.22283456020087947,0.42126569544856957,-0.3596238797127241,-0.7353335952094419,0.21457990130193696
th,-0.016189046668414798,-0.10805310241933713,1.0,-0.2351265784146359,-0.02873318194565679,0.13368516063147903,0.08474361810624965,,-0.04307800746436984,-0.11657151869168528,0.13135338556680692,0.06213434596748338,-0.0157107751464084
vs,0.11732692429243032,0.5617789637666795,-0.2351265784146359,1.0,-0.44076707753933164,-0.6216208946342431,-0.5467993267773188,,0.18261614328638995,0.26121716435096176,-0.13887577228823267,-0.6184754496992679,0.028782286368137955
tmmn,-0.17772477096041417,-0.6091273350104408,-0.02873318194565679,-0.44076707753933164,1.0,0.6889774456138994,0.2450152871840498,,-0.06619811337400118,0.06674975153843782,0.09959123790509387,0.8999313826191262,-0.14113973486623405
tmmx,-0.26978214525131655,-0.9165702813669125,0.13368516063147903,-0.6216208946342431,0.6889774456138994,1.0,0.6149613230225393,,-0.14442040798861255,-0.36792856595874235,0.38210091112023153,0.8098635841508057,-0.2532291977320972
sph,-0.04768379547337613,-0.5592433623836591,0.08474361810624965,-0.5467993267773188,0.2450152871840498,0.6149613230225393,1.0,,-0.01999063359546473,-0.31124018454663666,0.543961979448631,0.38453613485788435,0.02569857143293343
pr,,,,,,,,,,,,,
pdsi,0.06692747957873833,0.22283456020087947,-0.04307800746436984,0.18261614328638995,-0.06619811337400118,-0.14442040798861255,-0.01999063359546473,,1.0,0.25550379447156657,0.04525241522174101,-0.05365260881385921,0.06146265733927696
NDVI,0.17754273576917676,0.42126569544856957,-0.11657151869168528,0.26121716435096176,0.06674975153843782,-0.36792856595874235,-0.31124018454663666,,0.25550379447156657,1.0,-0.14341146072588623,-0.10701679026582991,0.10108838374397505
population,0.020387979579777706,-0.3596238797127241,0.13135338556680692,-0.13887577228823267,0.09959123790509387,0.38210091112023153,0.543961979448631,,0.04525241522174101,-0.14341146072588623,1.0,0.2051394746566657,0.03216955983887039
erc,-0.20071514676004878,-0.7353335952094419,0.06213434596748338,-0.6184754496992679,0.8999313826191262,0.8098635841508057,0.38453613485788435,,-0.05365260881385921,-0.10701679026582991,0.2051394746566657,1.0,-0.18069963501416708
PrevFireMask,0.35061033874343556,0.21457990130193696,-0.0157107751464084,0.028782286368137955,-0.14113973486623405,-0.2532291977320972,0.02569857143293343,,0.06146265733927696,0.10108838374397505,0.03216955983887039,-0.18069963501416708,1.0
